,Text,PredictedSummary
572,"These are among the best chips I have ever eaten!  I first came upon them when I visited a CostPlus World Market store in Opelika, AL, in the Tiger Town Mall, in 2007.  I wasn't a big fan of dijon-flavored anything, but I decided to give these chips a try.  I was hooked.  I probably ended up buying over a dozen bags within just a few months' time.  I searched all over my part of Alabama (the northwestern part of the state) and could not find them.  I later tried to find them at the World Market in Hoover, at the Patton Creek Shopping Center, and they did not carry this flavor.  However, when I learned that they were available on Amazon.com, and also available for PRIME Shipping - I bought them as soon as I read ""Kettle Chips Honey Dijon, 9-Ounce Bags (Pack of 12)!""<br /><br />You get a pretty big box, filled with 12 bags of these delicious morsels.  They last quite a while, but I will re-order, very, very soon!  I suggest you buy them, in this bulk form, and enjoy them - you won't be disappointed!  They go great with hamburgers and hot dogs - so they're perfect for spring and this coming summer's outdoor activities and cook-outs!<br /><br />Take my word for it, these chips are a hidden gem lost in the world of snack foods!  Buy some today, and fall in love like me!","I was hooked. I later tried to find them at the World Market in Hoover, at the Patton Creek Shopping Center, and they did not carry this flavor. They go great with hamburgers and hot dogs - so they're perfect for spring and this coming summer's outdoor activities and cook-outs!<br /><br />Take my word for it, these chips are a hidden gem lost in the world of snack foods! I suggest you buy them, in this bulk form, and enjoy them - you won't be disappointed!"
574,"I'm addicted to salty and tangy flavors, so when I opened my first bag of Sea Salt & Vinegar Kettle Brand chips I knew I had a perfect complement to my vegetable trays of cucumber, carrot, celery and cherry tomatoes. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.<br /><br />As an Oregonian, I'm proud to share these delectable snacks with friends, especially those living outside our state and who haven't experienced gourmet chips. I tell them Kettle Brand does for potato chips what microbrews did for beer.<br /><br />Kettle Brand potato chips are unmistakable--a light gold color, rich flavor and amazing crunch. Kettle Brand chips are also a healthier snacking option than the major chip brands. Kettle Brand chips don't have trans fats, MSG or artificial flavors and colorings. The company also has a line of organic potato chips and all of their products are certified Kosher.<br /><br />I also recommend <a href=""http://www.amazon.com/gp/product/B000G6MBV4"">Kettle Chips Honey Dijon</a> and <a href=""http://www.amazon.com/gp/product/B000G6Q4GM"">Kettle Chips Spicy Thai</a>.<br /><br />Annette Solomon, a reporter for the Salem Statesman Journal recently noted that a glass of wine goes nicely with these chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. These chips are spicy, so you would want to select a semi-sweet white wine. Also, a moderate amount of acid will subdue the strong flavors of ginger, lime, garlic and cilantro without over-powering them. Classically, a German-style Riesling fits these parameters perfectly.""","I'm addicted to salty and tangy flavors, so when I opened my first bag of Sea Salt & Vinegar Kettle Brand chips I knew I had a perfect complement to my vegetable trays of cucumber, carrot, celery and cherry tomatoes. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.<br /><br />As an Oregonian, I'm proud to share these delectable snacks with friends, especially those living outside our state and who haven't experienced gourmet chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. Classically, a German-style Riesling fits these parameters perfectly."""
577,"I've found a new taste treat. I'm not a big one for potato chips, so I am sure I've come late to discover these. I think they are really good.  The processing & ingredients list is actually pretty good-no trans fats, etc. So, if you want an indulgence, these are A+ !  They are thicker & more tasty than the mass produced potato chips we've all come to know.  They are much more flavorful.  Never had a honey-dijon potato chip before. Incredibly good & a flavorful combination of sweet, tangy, salty. Also not overly hot or spicy. Excellent!<br /><br />If you want a snack, have something REALLY good. It's got to be worth the calories-and these are!","I've found a new taste treat. The processing & ingredients list is actually pretty good-no trans fats, etc. So, if you want an indulgence, these are A+ ! Also not overly hot or spicy."
585,"When I saw the Spicy Thai chips, I knew i had to try them. I love spicy and I love Thai food, so why not? First off, these chips are not super spicy. They actually taste sort of sweet at first, with many degrees of flavor. The spiciness is more of a lingering taste that bites afterwards. I'd say these are definitely a good, unique chip. But if you absolutely hate sweet chips, I'd try a different flavor since these are a little sweet.","When I saw the Spicy Thai chips, I knew i had to try them. The spiciness is more of a lingering taste that bites afterwards. But if you absolutely hate sweet chips, I'd try a different flavor since these are a little sweet."
586,"Smiles... Thank you Lord, for I have found another healthy snack food that is unsalted, and tastes great. I almost gave up on finding a potato chip like this. The only thing i would ask Kettle to change is the texture. It's slightly hard/crunchy, but not a problem at all. I would just prefer it to be softer. Kettle if you do make that happen, please keep everything else the same. Thank you.","Smiles... I almost gave up on finding a potato chip like this. It's slightly hard/crunchy, but not a problem at all."
587,"These are my favorite, but they aren't for everybody. In a way, they sort of taste like Oriental flavor ramen, but with a kick. For me, how can one go wrong with the combination of jalapeno and ginger? They are a bit rich, so they aren't for EveryDayForAMonth snacking. Because this is a case purchase, I recommend trying out a single bag before buying an entire case. The 2oz size seems to be no longer available, which is a shame; I can eat the entire 5oz bag.","They are a bit rich, so they aren't for EveryDayForAMonth snacking. In a way, they sort of taste like Oriental flavor ramen, but with a kick. Because this is a case purchase, I recommend trying out a single bag before buying an entire case."
591,"My son bought a package of the Jalapeno Potato Chips a couple weeks ago, and he and I have become addicted.<br /><br />First, Kettle chips appear to be somewhat better in terms of fats etc. than many other chips, as one peruses the dietary information.<br /><br />Second, individual chips are nice and crisp and have a good crunch value as you munch away at them.<br /><br />Third, the jalapeno has some kick (not overly hot, of course). Too many products labelled as spicy are not, have no kick, and are as bland as can be. Here, you do get a slow noticeable burn from the jalapeno. My preference? A bit more heat. But I understand that most consumers would prefer somewhat less than I would. Still, decent spicyness.<br /><br />All in all, I have been pretty happy with this product, in the few weeks since we first bought it. I now purchase a package each week in my foray to the local grocery store. . . .","My son bought a package of the Jalapeno Potato Chips a couple weeks ago, and he and I have become addicted.<br /><br />First, Kettle chips appear to be somewhat better in terms of fats etc. Too many products labelled as spicy are not, have no kick, and are as bland as can be. My preference?"
592,"After looking at the pictures someone put on here showing a crushed box, I had to write a review.  I have bought these chips numerous times from Amazon Warehouse Deals and each time they came packaged perfectly.  There was a sale at the end of the summer and I received a few cases/boxes for just over $10.00.  The chips were fresh and very hard to eat just one bag.  I hid them in the garage and only remembered them when I went out there; that way I didn't eat them all.  As far as the pictures, if the person contacted Amazon, he made out ok.  Amazon is great with handling complaints and this person was given perfect customer service if he called Amazon.  Thanks for a great tasting product, good price and quick shipping.  I'll buy these again...soon.","After looking at the pictures someone put on here showing a crushed box, I had to write a review. I hid them in the garage and only remembered them when I went out there; that way I didn't eat them all. Thanks for a great tasting product, good price and quick shipping."
593,"There is nothing too good or too bad about these chips. If you like plain potato chips, you'd like these. They are thicker than most brands, fresh out of box, very crunchy and not too salty (for me). One bag has a lot, I generally cannot finish it by myself. Part of the reason is that they are too oily (some chips almost look transparent, if you know what I mean). The taste of oil is a bit too overwhelming for me. If you are used to more spicy chips you may not like these since they do not have any spice, except salt, as the name says. I don't think I'll buy these again. The ""best by"" date on my bags are March 2011 and I ordered them at the end of October.","Part of the reason is that they are too oily (some chips almost look transparent, if you know what I mean). One bag has a lot, I generally cannot finish it by myself. I don't think I'll buy these again."
594,"I love this sea salt & vinegar flavor from Kettle.  When I saw this one on the daily deal here for $17.99/case, I put my order without doubt.  However, when I received the case, I found out that the whole case is expiring in December while I got it at the end of August.  I tried one package and I can definitely taste the unfreshness in the chips.  I was disappointed and then I found out this item is not returnable!  How convenient!  Although I love this chips, I won't order from here again with the concern of close expiration date...","I love this sea salt & vinegar flavor from Kettle. I was disappointed and then I found out this item is not returnable! When I saw this one on the daily deal here for $17.99/case, I put my order without doubt."
595,"This is the second purchase of Kettle Potato Chips and we love them just as much as the first time we tried them. We bought them by the a carton of 24 bags. The Kettle chips were in a 2oz bag which is just enough for a single size serving snack or with a meal. The chips are so delicious, baked not fried and lightly salted with Sea Salt. They have 0 fat, no preservatives, nothing artificial and they only use real food ingredients. What more could you ask for in a great tasting chip!","The Kettle chips were in a 2oz bag which is just enough for a single size serving snack or with a meal. The chips are so delicious, baked not fried and lightly salted with Sea Salt. They have 0 fat, no preservatives, nothing artificial and they only use real food ingredients."
598,But you will enjoy ever step. I gained 5 lbs within a month of buying this 12 pack of full sized bags. Damn it! They should warn you about this! Tastes awesome though. When I finish my crash diet I will order another box (case?). :-),Damn it! I gained 5 lbs within a month of buying this 12 pack of full sized bags. They should warn you about this!
599,"These are the best spicy chips I have ever had the pleasure of eating.  They start off sweet, then as you eat more the spice builds up.  They are fantastic.  If you don't want to commit to a whole case, pick up a bag at your local Whole Foods first, then stock up here when you realize how amazing they are.  Got my case right here, and loving every bite.  On a side note, this brand (Kettle Brand) has many delicious varieties- this is just my personal favorite.  I also highly recommend: Backyard BBQ, Honey Dijon, Sweet Onion, Buffalo Bleu, Salt and Pepper and Death Valley Chipotle.  Lays aint got nothin on Kettle Brand!!!","They are fantastic. They start off sweet, then as you eat more the spice builds up. I also highly recommend: Backyard BBQ, Honey Dijon, Sweet Onion, Buffalo Bleu, Salt and Pepper and Death Valley Chipotle."
600,"I've eaten other brands of unsalted potato chips and they've always been terrible.  I didn't expect much when I bought these.  But after I tasted them I was amazed.  I have never enjoyed unsalted potato chips before these.  They have a natural potato flavor with thick, crunchy chips.  The only bad thing is the bag is a pain to open.  Use scissors and save yourself the aggravation.",I have never enjoyed unsalted potato chips before these. I didn't expect much when I bought these. Use scissors and save yourself the aggravation.
601,"Kettle brand chips are probably the best potato chips I've tasted thus far. They are thick, has a bite to them and I love their creative flavors. My favorite Kettle chip happens to be the honey Dijon. I think it's a great combination sweet, salty and tangy, perfect for one of those snack attacks when you don't know exactly what you want. I especially love the curled up chips for extra texture and crunch. These 2-oz bags are perfect for anyone who has a problem controlling portions (like me!).","Kettle brand chips are probably the best potato chips I've tasted thus far. They are thick, has a bite to them and I love their creative flavors. My favorite Kettle chip happens to be the honey Dijon."
602,"As an Oregonian, I make a point of sharing these Oregon-made snacks with friends who visit the state. I tell them the Kettle Brand does for potato chips what microbrew does for beer.<br /><br />Kettle Brand potato chips are unmistakable--a light gold color, rich flavor and amazing crunch. Kettle Brand chips are also a healthier snacking option than the major chip brands. Kettle Brand chips don't have trans fats, MSG or artificial flavors and colorings. The company also has a line of organic potato chips and all of their products are certified Kosher.<br /><br />Annette Solomon, a reporter for the Salem Statesman Journal noted that a glass of wine goes nicely with Spicy Thai chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. These chips are spicy, so you would want to select a semi-sweet white wine. Also, a moderate amount of acid will subdue the strong flavors of ginger, lime, garlic and cilantro without over-powering them. Classically, a German-style Riesling fits these parameters perfectly.""<br /><br />I also recommend <a href=""http://www.amazon.com/gp/product/B000G6MBV4"">Kettle Chips Honey Dijon</a> and <a href=""http://www.amazon.com/gp/product/B000G6MBUA"">Kettle Chips Sea Salt & Vinegar</a>.<br /><br />The Honey Dijon chips bring a terrific balance of salty, tangy, sweet and crunchy. Other brands I've tried use too much mustard flavor, which overpowers the Honey Dijon pairing. The Honey Dijon chips make a great side dish on a BBQ plate with baked beans, coleslaw or potato salad and grilled meat. Naturally, they also go down great with beer.<br /><br />The Sea Salt & Vinegar chips are a perfect complement to vegetable trays of cucumber, carrot, celery and cherry tomatoes. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.<br /><br />In summary, I highly recommend Kettle Brand chips, a great buy on Amazon.com.","As an Oregonian, I make a point of sharing these Oregon-made snacks with friends who visit the state. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.<br /><br />In summary, I highly recommend Kettle Brand chips, a great buy on Amazon.com. Classically, a German-style Riesling fits these parameters perfectly. Naturally, they also go down great with beer.<br /><br />The Sea Salt & Vinegar chips are a perfect complement to vegetable trays of cucumber, carrot, celery and cherry tomatoes."
603,"I'm addicted to salty and tangy flavors, so when I opened my first bag of Sea Salt & Vinegar Kettle Brand chips I knew I had a perfect complement to my vegetable trays of cucumber, carrot, celery and cherry tomatoes. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.<br /><br />As an Oregonian, I'm proud to share these delectable snacks with friends, especially those living outside our state and who haven't experienced gourmet chips. I tell them Kettle Brand does for potato chips what microbrews did for beer.<br /><br />Kettle Brand potato chips are unmistakable--a light gold color, rich flavor and amazing crunch. Kettle Brand chips are also a healthier snacking option than the major chip brands. Kettle Brand chips don't have trans fats, MSG or artificial flavors and colorings. The company also has a line of organic potato chips and all of their products are certified Kosher.<br /><br />I also recommend <a href=""http://www.amazon.com/gp/product/B000G6MBV4"">Kettle Chips Honey Dijon</a> and <a href=""http://www.amazon.com/gp/product/B000G6Q4GM"">Kettle Chips Spicy Thai</a>.<br /><br />Annette Solomon, a reporter for the Salem Statesman Journal recently noted that a glass of wine goes nicely with these chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. These chips are spicy, so you would want to select a semi-sweet white wine. Also, a moderate amount of acid will subdue the strong flavors of ginger, lime, garlic and cilantro without over-powering them. Classically, a German-style Riesling fits these parameters perfectly.""","I'm addicted to salty and tangy flavors, so when I opened my first bag of Sea Salt & Vinegar Kettle Brand chips I knew I had a perfect complement to my vegetable trays of cucumber, carrot, celery and cherry tomatoes. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.<br /><br />As an Oregonian, I'm proud to share these delectable snacks with friends, especially those living outside our state and who haven't experienced gourmet chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. Classically, a German-style Riesling fits these parameters perfectly."""
605,"I've always liked Salt and Vinegar chips but most of the time the stronger flavor was at the bottom of the bag. Not with these, the vinegar is overflowing right from the first chip and doesnt stop until you've finished the bag. These are very addictive. If you like salt and vinegar, these are the ultimate chips. Nothing else compares.",I've always liked Salt and Vinegar chips but most of the time the stronger flavor was at the bottom of the bag. These are very addictive. Nothing else compares.
607,"These are seriously delicious, especially if you like plain potato chips. My only concern is they're very oily. I understand they're ""kettle chips"" and they're ""fried"" (small batches and all) but when you open the bag (That's another thing, very strong bag! Need scissors!) there's a coating of oil on the inside of the bag and on the chips themselves. I suggest a blot/shake on some paper towels before consuming. Either way, they have a yummy potato taste, and very satisfying crunch. Delicious!","I understand they're ""kettle chips"" and they're ""fried"" (small batches and all) but when you open the bag (That's another thing, very strong bag! Need scissors!) there's a coating of oil on the inside of the bag and on the chips themselves."
609,"Kettle Foods, Inc. makes the best tasting potato chips I've ever eaten.  With a variety of flavors, from classic Barbeque to their unique Spicy Thai you'll find the right flavor for your mouth. And not only do they taste wonderful, but these all-natural chips are cooked in safflower or sunflower oil for zero cholesterol.<br /><br />But why is it a GoGreenMart&More product of the week? Kettle Foods, Inc. is a ""Green Giant"", a company highlighted for their environmental practices.  They convert waste oils to biodiesel to power some of their company cars. A roof-top solar panel system creates 120,000kWh annually for production and they offset 100% of their additional U.S. energy usage by buying renewable energy credits. Not only are their efforts for the future but they care for the present by rejuvenate a neighboring 2 acre wetland eco-system. And during recent building construction, they earned a Gold rating from Leadership in Energy and Environmental Design (LEED).<br /><br />Now your mouth will thank you and so will the environment.","Kettle Foods, Inc. makes the best tasting potato chips I've ever eaten. Kettle Foods, Inc. is a ""Green Giant"", a company highlighted for their environmental practices. Not only are their efforts for the future but they care for the present by rejuvenate a neighboring 2 acre wetland eco-system."
611,"These chips are delectably delicious. I am on a low sodium diet. I didn't have to give up totally something that I truely love to snack. These chips are bursting with flavor, and you can't really tell they are missing all that salt. There is just a kiss worth on a chip, but beleive me, it is a total makeout!!!",These chips are delectably delicious. I am on a low sodium diet. I didn't have to give up totally something that I truely love to snack.
615,These are my new favorite!  I have always been a fan of salt and vinegar but these honey dijons have replaced them as my new number one!  They do have a strong taste so loving the honey mustard flavor is a must if you hope to like these.<br /><br />Price wise...I do not see that they are that much of a deal here.  I purchased them for $2.99 at the grocery with no shipping.  I would have given the product 5 stars (easily) had it not been for the price.  The taste is fabulous -- you won't be disappointed.,These are my new favorite! I have always been a fan of salt and vinegar but these honey dijons have replaced them as my new number one! I purchased them for $2.99 at the grocery with no shipping.
619,"At first I was thinking, ""cheese flavored chips?""  But I love them.  The herbs they used are just delicious.  The cheese is not overpowering.  They are yummy and crispy!!","But I love them. At first I was thinking, ""cheese flavored chips?"" The herbs they used are just delicious."
620,"The Spicy Thai chips used to be the best tasting chips on the market.  However, Kettle Foods has changed the ingredients used, with ginger  being the most important that is now missing.  Notice that they removed ""ginger with attitude"" from the bag.  Sadly, the changing of the ingredients has ruined the chips for me.  They aren't that good anymore and the spice level is virtually non-existent.<br /><br />Here are the original and new ingredient listings:<br /><br />Original Ingredients<br />Select Potatoes, Safflower and/or Sunflower Oil, Honey Powder (Evaporated Cane Syrup, Honey)Salt, Garlic Powder, Jalapeno Pepper, Ground ginger, Onion Powder, Habanero Pepper, Dried Parsley, Citric Acid, Cilantro Extract, Ginger Oil, Cayenne Pepper, White Pepper, Lime Oil.<br /><br />New Ingredients<br />Potatoes, safflower and/or sunflower oil, sugar, dried cane syrup, salt, maltodextrin, yeast extract, spices, garlic powder, onion powder, dried parsley, jalapeno powder, citric acid, natural flavors, lime extract<br /><br />I'm assuming they changed the ingredients in order to cut costs for their new owner,  Blue Diamond.  They might want to get rid of  ""Great Taste Naturally"" from their bags as I don't consider maltodextrin to be very natural.<br /><br />Great job Kettle!  Way to ruin a great thing!","However, Kettle Foods has changed the ingredients used, with ginger  being the most important that is now missing. They aren't that good anymore and the spice level is virtually non-existent.<br /><br />Here are the original and new ingredient listings:<br /><br />Original Ingredients<br />Select Potatoes, Safflower and/or Sunflower Oil, Honey Powder (Evaporated Cane Syrup, Honey)Salt, Garlic Powder, Jalapeno Pepper, Ground ginger, Onion Powder, Habanero Pepper, Dried Parsley, Citric Acid, Cilantro Extract, Ginger Oil, Cayenne Pepper, White Pepper, Lime Oil.<br /><br />New Ingredients<br />Potatoes, safflower and/or sunflower oil, sugar, dried cane syrup, salt, maltodextrin, yeast extract, spices, garlic powder, onion powder, dried parsley, jalapeno powder, citric acid, natural flavors, lime extract<br /><br />I'm assuming they changed the ingredients in order to cut costs for their new owner,  Blue Diamond. Way to ruin a great thing!"
624,"I got the sea salt and vinegar chips from Kettle.  I am used to the Salt and Vinegar chips in the white bag if I am allowed to say that.  Anyways, my first impression for this is wow at all the chips you get for the price.  I got the 9 0z x 12 bags and wow it is so many for the price.  You can tell they are high quality chips just from the packaging, also.  Well being used to the cheaper chips I wasn't expecting how mellow these things are.  The ones I am used to have a really sour taste to them which I didn't mind but they had tons of flavor.  These chips don't have any sour to them at all, and taste just like them but a lot less strong aftertaste.  If you want to try out Salt and Vinegar chips I suggest you try these out first.  So, for the price and how many you get, these chips are definately worth it.  They are thick and crunchy like the more expensive chips you get at high quality restaurants.  I recommend these, 4 stars.","I got the sea salt and vinegar chips from Kettle. Anyways, my first impression for this is wow at all the chips you get for the price. You can tell they are high quality chips just from the packaging, also. I recommend these, 4 stars."
630,"The chips come in a large box with individually wrapped bags of chips. The bags are very strong - much thicker than, say, Lay's potato chip bags. Inside are very tasty kettle cooked chips, salted just right. Because these appear to be cooked in an actual kettle fashion, some are cooked more than others, which gives it a more authentic, non-manufactured feel. Some people may not like that.<br /><br />I reccomend them!","The chips come in a large box with individually wrapped bags of chips. Inside are very tasty kettle cooked chips, salted just right. Because these appear to be cooked in an actual kettle fashion, some are cooked more than others, which gives it a more authentic, non-manufactured feel."
632,"Yes, they are good. However, they are absolutely inundated with the flavoring stuff, which is initially satisfying then becomes ""too much"". And certainly isn't good for the waistline or general nutritional issues.<br /><br />AND the package can't be opened without a sharp implement. I couldn't pull it apart at the top as I am used to doing. I don't normally carry a knife or scissors and don't have rodent teeth. Well, I was hungry and was able to rip the bag using my car key. Even then, the bag was *wow* thick and tough.<br /><br />On the package it says these are ""Krinkle Cut"" chips. Turns out that means the corrugated kind, not what I wanted. I don't eat ripple/ridged style chips any more because they take the skin off the roof of my mouth. So this information is important.<br /><br />These are good but so are other brands with which I don't have these problems.","Yes, they are good. However, they are absolutely inundated with the flavoring stuff, which is initially satisfying then becomes ""too much"". I don't normally carry a knife or scissors and don't have rodent teeth. Well, I was hungry and was able to rip the bag using my car key."
633,"This may sound rediculous, but I actually ordered the wrong brand of potato chips when I ordered these Kettle-brand jalapeno chips.  At the time I placed my order, I couldn't remember the name of the jalapeno chips that I had recently discovered and liked, and the Kettle-brand chips were packaged in a similarly-colored bag.  But, it all worked out for the best because I do really like the Kettle-brand of jalapeno chips, and will happily munch away on them during upcoming TV football games.  When I run out (probably sometime next year!), I will likey purchase Miss Vicky brand of jalapeno chips, and I plan to try the other flavors of Kettle-brand chips.  Imho, Kettle-brand chips are excellent and I recommend them to all potato chip 'affection-ados'.<br /><br />Sincerely,<br /><br />  § homiedog §","At the time I placed my order, I couldn't remember the name of the jalapeno chips that I had recently discovered and liked, and the Kettle-brand chips were packaged in a similarly-colored bag. When I run out (probably sometime next year! Imho, Kettle-brand chips are excellent and I recommend them to all potato chip 'affection-ados'.<br /><br />Sincerely,<br /><br />  § homiedog §"
635,"I want to like Kettle because they contain no corn oil or soybean oil (which are both GMO, and also my kids are allergic to corn and soy), but darnit, these things bite back! On the plus side, the sharpness of them may keep you from mindlessly enjoying too many. On the minus side, a mouthful of cuts and scratches is not worth it. Do they have to be SO hard and crunchy? What's wrong with simply light and crispy? I vastly prefer Lay's texture, but suffer with Kettle due to the absense of GMOs and corn/soy. I wish they'd come out with something less harsh on the mouth, though.","I vastly prefer Lay's texture, but suffer with Kettle due to the absense of GMOs and corn/soy. Do they have to be SO hard and crunchy? On the plus side, the sharpness of them may keep you from mindlessly enjoying too many."
643,"After a lifetime of tea drinking, I can honestly say that this is the best Earl Grey I have ever tasted.  I have ordered it a number of times, and each batch is consistently excellent. I have even given it as a gift, as its container is superb for keeping loose tea fresh.  The metal canister has an inner lid that is lifted with its own attached knob, so the tea stays dry and fresh for the length of time it takes to use it up.  Do yourself a favor, if you like Earl Grey, and treat yourself to this tea.","I have even given it as a gift, as its container is superb for keeping loose tea fresh. The metal canister has an inner lid that is lifted with its own attached knob, so the tea stays dry and fresh for the length of time it takes to use it up. Do yourself a favor, if you like Earl Grey, and treat yourself to this tea."
644,"These biscuits are delicious, not too sweet, with just enough crunch.  We love them.  Quick delivery. We would order them again.  Very satisfied.","These biscuits are delicious, not too sweet, with just enough crunch. We love them."
646,"My male Maltese dog had been enjoying the Old Roy's Puppy Biscuits from Walmart.  Then I couldn't find them.  I was desperate to find a treat that would measure up.  I ordered six bags of the peanut butter and crossed my fingers.<br /><br />They arrived, and my little guy loves them.  He gets one heart-shaped biscuit at bedtime.  He sleeps in a crate.  When he hears me touch the bag of treats, he beats a path to his crate in high excitement.  They are a BIG hit with my him.  They are well worth the price.  They are high quality and I can even smell peanuts in them.","Then I couldn't find them. I ordered six bags of the peanut butter and crossed my fingers.<br /><br />They arrived, and my little guy loves them. He sleeps in a crate. I was desperate to find a treat that would measure up."
649,"So I got this and tasted it strait out of the bottle, it tasted like smoky flavored milk - YUCK! I was depressed I was stuck with 4 bottles of this.  It sat on my shelf and I forgot about it. Last weekend I tasted a Zevia cream soda and was not pleased with the flavor, it tasted weird and smokey like the LorAnn oil I had gotten.  I tried to doctor up the soda with a little SF Vanilla Torani syrup and a tablespoon of heavy cream - IT TASTED AMAZING!!!  The odd smokiness was gone and it had a wonderful rich mouthfeel.<br /><br />So I wanted to see if this would help the LorAnn oil too.  I put a cup of whipping cream in a bowl and added a teaspoon of vanilla and tasted it, it tasted fine.  Then I added ONE DROP of the oil, it is very strong, and stirred it in - IT TASTED SO MUCH BETTER!  I whipped it up and put it on fruit and it was such a treat.<br /><br />Now I will always whip a drop of it with vanilla into desserts and whip cream.  It was such a happy accident to find out how to use it.  When added to vanilla it really adds a new depth of flavor and tastes so different than just out of the bottle or on its own in cream.<br /><br />It is VERY potent so only use a drop and increase after tasting, if you add too much it will ruin the recipe so use a light touch.","I was depressed I was stuck with 4 bottles of this. Last weekend I tasted a Zevia cream soda and was not pleased with the flavor, it tasted weird and smokey like the LorAnn oil I had gotten. I tried to doctor up the soda with a little SF Vanilla Torani syrup and a tablespoon of heavy cream - IT TASTED AMAZING!!! The odd smokiness was gone and it had a wonderful rich mouthfeel.<br /><br />So I wanted to see if this would help the LorAnn oil too."
651,"I'm from Detroit, and I was raised on Vernor's ginger ale.  Once I moved to California, though, I found it difficult to find Vernor's.  It would pop up here and there, and then disappear.  I guess without advertising, it just never found a home.<br /><br />I prefer the plastic bottles, but the ideal size is the 16.9 oz (500 ml) or the one liter.  The problem with the two liter size is that it takes one person (me) too long to drink it, letting it go flat.<br /><br />In any case, Vernor's is unique in that it is aged in oak for three years, I think.  That imparts a great, unique flavor.<br /><br />I wish it would catch on again, and become available more widely.<br /><br />(Recently I did see it on sale in Redwood City in California's Bay Area, south of San Francisco.  The next day, it was gone!","Once I moved to California, though, I found it difficult to find Vernor's. I guess without advertising, it just never found a home.<br /><br />I prefer the plastic bottles, but the ideal size is the 16.9 oz (500 ml) or the one liter. The next day, it was gone!"
652,"I like ""Vernor's"", and drink it all the time. It is old fashioned drink from Michigan, since 1866, and the labeling was known for its lovely green and gold colors and the gnome character. If you look at the can it is actually called ginger soda instead of ale and is different than typical ginger ale in taste. Vernors has a strong vanilla presence, is smoother and more moist, and sweeter than a ginger ale. It is closer to a cream soda than ginger ale, very good. A ginger ale is more dry, higher in carbonation, and has a spicier bite to it. Vernors has 39 grams sugar per can, versus 33 grams per can for Schweppes Ginger Ale. Neither has caffeine.<br /><br />The recipe has changed a bit over the years mostly in the choice of sweeteners. They use the same high fructose corn syrup that the cost-cutting mega soda companies use, rather than the cane sugar they used to use. The down side to that is that the corn syrup syrup drowns out some of the flavors. Many microbrews are using cane sugar again, although it costs more, to get a better taste. Vernor's is still aged in oak barrels for 3 years, no doubt accounting for the smoothness. All in all a great soda for anytime. The soda is also known, like other ginger drinks, for its use as a home remedy for an upset stomach.<br />Vernor's is a regional soda, and there are many areas of the country you can't find it in. That is why it sells here. They may be selling it in glass bottles again soon, at least there is a page that says so the day I am writing this comment. Search at Amazon for ASIN: B001JK2SEG to see what I mean. Vernors has quite a history, and there are two books at Amazon about the soda. The first is Vernor's Ginger Ale (Images of America: Michigan) ISBN-10: 0738551856. The second book is ""The Vernor's Story: From Gnomes to Now"" ISBN-10: 0472066978 a book about the company's marketing green and gold packaging with the famous gnome, and Vernor's fans.","Vernors has a strong vanilla presence, is smoother and more moist, and sweeter than a ginger ale. Vernors has 39 grams sugar per can, versus 33 grams per can for Schweppes Ginger Ale. If you look at the can it is actually called ginger soda instead of ale and is different than typical ginger ale in taste. The soda is also known, like other ginger drinks, for its use as a home remedy for an upset stomach.<br />Vernor's is a regional soda, and there are many areas of the country you can't find it in. Neither has caffeine.<br /><br />The recipe has changed a bit over the years mostly in the choice of sweeteners."
